"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2010","A","2001",90.906723,
"AUS","GDPHRWKD","TOT","IDX2010","A","2002",92.17188,
"AUS","GDPHRWKD","TOT","IDX2010","A","2003",94.156902,
"AUS","GDPHRWKD","TOT","IDX2010","A","2004",93.886913,
"AUS","GDPHRWKD","TOT","IDX2010","A","2005",94.272836,
"AUS","GDPHRWKD","TOT","IDX2010","A","2006",94.818613,
"AUS","GDPHRWKD","TOT","IDX2010","A","2007",95.965053,
"AUS","GDPHRWKD","TOT","IDX2010","A","2008",99.338626,
"AUS","GDPHRWKD","TOT","IDX2010","A","2009",98.378213,
"AUS","GDPHRWKD","TOT","IDX2010","A","2010",100,
"AUS","GDPHRWKD","TOT","IDX2010","A","2011",101.176644,
"AUS","GDPHRWKD","TOT","IDX2010","A","2012",103.599792,
"AUS","GDPHRWKD","TOT","IDX2010","A","2013",105.332079,
"AUS","GDPHRWKD","TOT","IDX2010","A","2014",105.818649,
"AUS","GDPHRWKD","TOT","IDX2010","A","2015",108.504858,
"AUS","GDPHRWKD","TOT","IDX2010","A","2016",108.285895,
"AUS","GDPHRWKD","TOT","IDX2010","A","2017",109.582624,
"AUS","GDPHRWKD","TOT","IDX2010","A","2018",109.258497,"E"
"AUT","GDPHRWKD","TOT","IDX2010","A","2001",87.899575,
"AUT","GDPHRWKD","TOT","IDX2010","A","2002",89.597703,
"AUT","GDPHRWKD","TOT","IDX2010","A","2003",90.288588,
"AUT","GDPHRWKD","TOT","IDX2010","A","2004",92.070383,
"AUT","GDPHRWKD","TOT","IDX2010","A","2005",94.265766,
"AUT","GDPHRWKD","TOT","IDX2010","A","2006",96.788579,
"AUT","GDPHRWKD","TOT","IDX2010","A","2007",99.206522,
"AUT","GDPHRWKD","TOT","IDX2010","A","2008",99.205538,
"AUT","GDPHRWKD","TOT","IDX2010","A","2009",98.494621,
"AUT","GDPHRWKD","TOT","IDX2010","A","2010",100,
"AUT","GDPHRWKD","TOT","IDX2010","A","2011",101.022128,
"AUT","GDPHRWKD","TOT","IDX2010","A","2012",102.102479,
"AUT","GDPHRWKD","TOT","IDX2010","A","2013",102.775988,
"AUT","GDPHRWKD","TOT","IDX2010","A","2014",103.08942,
"AUT","GDPHRWKD","TOT","IDX2010","A","2015",104.616362,
"AUT","GDPHRWKD","TOT","IDX2010","A","2016",104.58601,
"AUT","GDPHRWKD","TOT","IDX2010","A","2017",105.50113,
"AUT","GDPHRWKD","TOT","IDX2010","A","2018",106.228242,
"BEL","GDPHRWKD","TOT","IDX2010","A","2001",91.571822,
"BEL","GDPHRWKD","TOT","IDX2010","A","2002",92.199794,
"BEL","GDPHRWKD","TOT","IDX2010","A","2003",92.976999,
"BEL","GDPHRWKD","TOT","IDX2010","A","2004",95.981236,
"BEL","GDPHRWKD","TOT","IDX2010","A","2005",97.442955,
"BEL","GDPHRWKD","TOT","IDX2010","A","2006",97.948673,
"BEL","GDPHRWKD","TOT","IDX2010","A","2007",99.759333,
"BEL","GDPHRWKD","TOT","IDX2010","A","2008",99.146598,
"BEL","GDPHRWKD","TOT","IDX2010","A","2009",98.504241,
"BEL","GDPHRWKD","TOT","IDX2010","A","2010",100,
"BEL","GDPHRWKD","TOT","IDX2010","A","2011",99.31696,
"BEL","GDPHRWKD","TOT","IDX2010","A","2012",99.811128,
"BEL","GDPHRWKD","TOT","IDX2010","A","2013",100.67202,
"BEL","GDPHRWKD","TOT","IDX2010","A","2014",102.114304,
"BEL","GDPHRWKD","TOT","IDX2010","A","2015",103.685421,
"BEL","GDPHRWKD","TOT","IDX2010","A","2016",104.03252,
"BEL","GDPHRWKD","TOT","IDX2010","A","2017",104.128021,
"BEL","GDPHRWKD","TOT","IDX2010","A","2018",103.853848,
"CAN","GDPHRWKD","TOT","IDX2010","A","2001",93.092222,
"CAN","GDPHRWKD","TOT","IDX2010","A","2002",94.599855,
"CAN","GDPHRWKD","TOT","IDX2010","A","2003",94.836014,
"CAN","GDPHRWKD","TOT","IDX2010","A","2004",95.634501,
"CAN","GDPHRWKD","TOT","IDX2010","A","2005",97.758595,
"CAN","GDPHRWKD","TOT","IDX2010","A","2006",98.799012,
"CAN","GDPHRWKD","TOT","IDX2010","A","2007",98.795684,
"CAN","GDPHRWKD","TOT","IDX2010","A","2008",98.513469,
"CAN","GDPHRWKD","TOT","IDX2010","A","2009",98.986493,
"CAN","GDPHRWKD","TOT","IDX2010","A","2010",100,
"CAN","GDPHRWKD","TOT","IDX2010","A","2011",101.636186,
"CAN","GDPHRWKD","TOT","IDX2010","A","2012",101.862781,
"CAN","GDPHRWKD","TOT","IDX2010","A","2013",103.222342,
"CAN","GDPHRWKD","TOT","IDX2010","A","2014",105.936537,
"CAN","GDPHRWKD","TOT","IDX2010","A","2015",105.653296,
"CAN","GDPHRWKD","TOT","IDX2010","A","2016",105.982683,
"CAN","GDPHRWKD","TOT","IDX2010","A","2017",108.150092,
"CAN","GDPHRWKD","TOT","IDX2010","A","2018",107.933462,
"CZE","GDPHRWKD","TOT","IDX2010","A","2001",77.777091,
"CZE","GDPHRWKD","TOT","IDX2010","A","2002",78.645327,
"CZE","GDPHRWKD","TOT","IDX2010","A","2003",82.601287,
"CZE","GDPHRWKD","TOT","IDX2010","A","2004",86.300934,
"CZE","GDPHRWKD","TOT","IDX2010","A","2005",90.192039,
